X_S42,Y_S42
3468032,5572407
3468800,5571616
3468800,5571391
3468800,5571718
3468800,5571501
3469312,5567776
3469312,5568071
3469312,5567876
3469312,5567671
3469312,5567971
3472640,5568983
3468033,5572509
3468033,5573058
3468289,5567497
3468289,5567728
3468801,5572096
3468801,5571901
3468801,5572191
3468801,5571996
3468801,5571826
3469313,5568272
3469313,5568364
3469313,5568172
3469313,5568489
3470593,5571691
3470593,5570715
3471873,5570086
3473410,5570126
3473666,5568209
3467522,5572459
3468034,5572614
3468290,5571413
3468290,5567902
3468802,5572639
3468802,5572436
3468802,5572536
3468802,5572326
3470082,5567820
3472130,5570933
3467011,5570790
3467779,5572645
3468803,5572921
3468803,5572996
3468803,5572826
3468804,5573162
3468804,5573267
3468804,5568971
3468804,5573347
3470596,5569641
3470596,5569773
3467013,5571122
3468293,5569390
3468805,5569206
3469317,5570066
3470341,5568215
3470597,5570311
3470597,5570106
3470597,5569896
3470597,5570211
3470597,5570001
3472133,5570730
3472901,5568867
3472901,5571835
3470598,5570631
3470598,5570416
3470598,5570731
3470598,5570526
3471110,5568454
3470599,5570831
3470599,5570936
3470344,5568858
3471368,5571110
3471880,5570740
3468041,5569720
3468041,5567702
3470089,5573365
3470601,5571891
3470601,5571991
3470601,5571791
3470601,5572091
3471369,5571608
3467018,5571030
3470602,5571083
3472394,5568398
3470347,5568270
3470603,5570211
3473420,5572597
3470348,5568337
3470860,5571279
3467789,5567574
3468301,5572108
3468301,5572211
3469581,5571920
3471373,5570816
3473934,5567676
3467022,5570678
3467278,5571364
3468302,5568087
3471630,5570608
3473423,5569989
3472399,5571021
3467792,5568002
3472400,5571096
3472400,5571356
3472400,5571656
3472400,5571191
3472400,5571456
3472400,5571746
3472400,5571278
3472400,5571556
3469841,5568227
3470609,5571191
3469842,5567944
3471122,5571002
3467795,5571054
3468051,5567602
3468051,5567487
3470611,5569627
3471123,5570542
3472403,5573641
3472403,5573556
3467540,5572365
3469588,5570757
3469844,5569689
3470868,5568269
3471380,5570367
3469589,5571082
3469589,5570860
3469589,5570960
3470357,5569072
3470613,5570332
3470613,5572921
3471381,5571676
3467798,5570644
3469590,5571532
3470102,5568095
3467799,5571165
3467799,5570972
3467799,5569722
3467799,5571265
3467799,5571065
3467800,5571370
3467800,5571675
3467800,5571475
3467800,5571767
3467800,5571575
3467545,5570437
3467801,5571920
3467801,5572005
3467801,5572072
3467801,5567464
3469849,5570757
3470617,5572196
3467802,5572355
3467802,5572650
3467802,5572455
3467802,5572270
3467802,5572555
3471386,5568814
3467547,5567834
3467803,5572915
3467803,5573000
3467803,5573095
3468571,5569695
3469083,5568769
3469083,5572924
3469595,5568071
3467804,5573395
3467804,5573195
3467804,5573465
3467804,5573295
3469596,5569841
3469596,5569671
3469596,5569769
3470108,5573427
3469853,5568537
3469853,5568464
3471901,5570418
3467294,5569128
3467550,5572674
3467806,5572162
3468318,5570612
3469598,5570619
3469854,5568637
3469854,5568722
3470622,5571315
3471134,5570727
3472670,5572002
3467039,5568971
3468319,5571130
3467040,5571746
3468064,5568822
3469600,5571404
3469600,5571267
3471136,5571464
3469601,5572155
3469601,5572065
3467810,5567909
3469602,5572625
3469602,5572450
3469602,5572250
3469602,5572545
3469602,5572345
3471138,5570446
3469091,5568829
3469603,5572710
3469603,5572795
3467044,5569100
3469348,5570627
3471140,5568356
3471396,5568754
3467301,5572149
3467301,5571281
3467813,5570554
3469605,5568517
3470885,5571112
3471397,5569669
3467302,5572734
3471398,5569794
3471398,5570109
3471398,5569911
3471398,5570014
3473703,5568244
3467559,5571241
3471399,5571124
3471399,5570916
3471399,5571019
3467048,5570831
3467048,5570621
3467048,5570911
3467048,5570671
3467048,5570751
3471400,5571364
3471400,5571644
3471400,5571454
3471400,5571224
3471400,5571744
3471400,5571549
3471400,5571824
3468073,5573151
3469353,5570519
3470633,5570589
3467562,5572377
3468330,5568400
3469611,5569736
3469867,5571030
3470891,5568570
3470891,5568388
3470891,5568488
3467052,5570923
3468844,5568735
3471404,5568854
3471916,5570799
3467565,5572750
