BP_from,BP_to,X_S42,Y_S42
2205,2070,3456512,5550898
7450,6850,3496342,5586480
7550,1380,3592129,5525293
2950,2725,3423482,5459272
7450,6850,3387527,5580629
2485,2340,3401572,5462006
3200,2950,3423482,5459272
2420,1988,3415965,5607379
4200,3550,3455984,5559614
2950,2725,3455984,5559614
7550,6200,3460759,5537059
7450,6850,3388095,5580674
2725,2340,3528088,5531488
7550,6200,3421740,5524780
3600,3200,3509191,5547986
2420,1988,3457688,5536975
2420,1988,3457708,5536995
2420,1988,3457888,5536914
4200,3550,3407163,5605519
5800,5300,3407163,5605519
4200,3550,3460687,5582054
4200,3550,3410404,5606843
3200,2950,3410404,5606843
6900,6550,3407163,5605519
4200,3550,3387594,5590840
6900,6550,3418008,5602277
4200,3550,3397438,5593214
7450,6850,3418008,5602277
6200,4200,3397044,5597469
7550,6200,3407163,5605519
2725,2340,3448550,5556511
3650,3550,3448550,5556511
2563,2340,3448550,5556511
4200,3550,3448550,5556511
7550,1380,3448550,5556511
2563,2340,3407163,5605519
6900,6550,3564350,5579770
2205,2070,3372690,5508439
2070,1988,3413207,5462021
6900,6550,3496342,5586480
3200,2340,3482573,5559378
2420,1988,3457658,5536926
2420,1988,3388506,5581864
2420,1988,3388528,5582246
2420,1988,3388506,5581864
3200,2950,3449329,5554317
2420,1988,3388716,5581304
1980,1560,3429952,5613758
3650,3550,3480334,5559672
1760,1560,3457888,5536914
5300,5000,3473594,5560414
4200,3550,3515246,5555296
5300,5000,3467142,5572710
5300,5000,3460260,5586033
3250,2975,3559609,5564623
6900,6550,3554638,5560636
2950,2725,3337878,5495792
4200,2725,3463047,5574007
2420,1988,3388506,5581864
4200,3550,3475958,5560540
4200,3550,3395374,5585758
4450,4200,3561255,5538402
3200,2950,3477760,5553929
3200,2950,3383212,5586373
4200,3550,3467142,5572710
6200,4200,3447369,5549720
2420,1988,3445218,5557090
2725,2485,3521026,5535956
5000,4800,3451452,5558569
3200,2950,3509380,5547723
2420,1988,3388506,5581864
2563,2340,3460507,5581902
4200,3550,3461340,5581551
4200,2725,3383303,5588725
3200,2950,3423766,5526509
4200,3550,3446589,5558833
3200,2950,3405234,5603668
1980,1560,3388506,5581864
2950,2700,3538567,5556192
3200,2950,3383303,5588725
4200,3550,3449329,5554317
4200,3550,3455191,5567722
7450,6850,3426690,5609245
7450,6850,3385905,5586967
3200,2950,3346940,5487438
7450,6850,3479457,5559332
6150,5300,3476351,5560372
2420,1988,3426667,5609636
4200,3550,3555745,5540472
3250,2975,3504428,5550647
2725,2485,3520996,5535876
3250,2975,3586608,5543770
4200,3550,3443437,5574763
4200,3550,3451452,5558569
2950,2700,3560366,5577240
5800,5300,3460507,5581902
7450,6850,3456636,5553732
4200,3550,3472169,5549662
3200,2950,3459003,5552842
7550,1380,3376658,5502645
4800,4450,3482223,5557435
5800,5300,3464052,5558051
7550,1380,3441235,5594833
4200,3550,3387823,5580651
4200,3550,3457659,5560929
4200,3550,3455224,5559620
6900,6550,3460156,5586188
3600,3200,3454564,5451411
3250,2975,3429952,5613758
2420,1988,3482858,5559563
3200,2950,3463162,5557357
4200,3550,3410838,5581637
5800,5300,3450592,5559149
4200,3550,3388095,5580674
6900,6550,3441154,5448468
2725,2485,3520812,5535850
3250,2975,3499697,5550627
2725,2485,3463236,5563802
4200,3550,3346362,5487172
4200,3550,3454564,5451411
2725,1988,3475012,5557632
2420,1988,3388506,5581864
4800,4450,3460507,5581902
4200,3550,3388599,5580424
2420,1988,3425523,5558683
3200,2950,3384549,5499736
3200,2950,3397216,5593634
4800,4200,3452841,5560580
2950,2725,3480823,5546689
7550,1380,3467402,5572338
2725,2340,3474841,5557673
7450,6850,3382133,5507293
4200,3550,3409807,5607501
4450,4200,3397410,5593222
4200,3550,3445316,5550273
1980,1560,3482858,5559563
4200,3550,3555752,5540500
2485,2340,3556050,5525584
4200,3550,3448390,5550142
3250,2975,3426648,5609700
2725,1988,3374773,5543758
3200,2950,3480128,5559675
4200,3550,3555752,5540500
4200,2725,3451032,5559273
4200,3550,3460612,5581843
4200,3550,3460507,5581902
4200,3550,3479833,5559178
2925,2700,3393956,5488875
7550,1380,3526421,5533333
7450,6850,3496440,5554016
3200,2950,3460184,5586071
2420,2340,3503553,5544291
2725,2485,3503553,5544291
3200,2340,3380189,5495261
5800,5300,3496440,5554016
2420,1988,3388506,5581864
2420,1988,3522301,5538216
3200,2950,3442286,5558410
2420,1988,3407194,5605551
7550,4250,3477179,5547778
4200,2725,3508627,5546197
5800,5300,3447781,5550183
3600,3200,3454564,5451411
3600,3225,3480732,5559793
3200,2950,3476964,5561368
3250,2975,3509186,5547934
2950,2700,3567004,5582514
4200,3550,3555752,5540500
2950,2725,3447653,5554434
3200,2950,3375080,5543138
4200,3550,3409553,5607101
4200,3550,3476351,5560372
3600,3200,3423766,5526509
2725,1988,3388506,5581864
3200,2950,3442729,5544892
3200,2725,3448390,5550142
1980,1560,3388506,5581864
4450,4200,3460507,5581902
7550,1380,3498766,5540728
3250,2975,3509169,5547911
7550,1380,3379552,5494854
3200,2950,3463236,5563802
2563,2340,3475012,5557632
4200,3550,3382161,5576038
2725,2485,3499981,5542648
3200,2950,3449297,5550075
7550,1380,3512973,5545169
5000,4800,3503553,5544291
7450,6850,3473834,5559862
4200,2725,3482283,5558936
3600,3200,3454587,5451326
4200,3550,3464217,5572438
2340,2205,3502710,5561615
4200,3550,3460951,5581844
4200,3550,3465957,5558482
6900,6550,3440718,5541590
4800,4450,3426130,5614839
4200,3550,3381866,5575691
2485,2340,3388791,5570340
2950,2725,3463743,5557732
3250,2975,3567004,5582514
1760,1560,3460507,5581902
3200,2950,3466074,5557662
4200,3550,3455675,5455801
4200,3550,3447369,5549720
4450,4200,3407749,5607874
7550,1380,3450030,5579317
4200,3550,3463236,5563802
4450,4200,3479833,5559168
2420,1988,3409692,5607530
1760,1560,3388528,5582246
5000,4800,3457140,5545311
6150,5300,3447989,5556441
7550,6200,3451911,5551155
4200,2725,3383321,5588712
3650,3550,3627133,5500382
1980,1760,3502376,5549322
2420,1988,3441741,5560715
4200,2725,3447925,5550183
4200,3550,3387527,5580629
4450,4200,3561394,5538648
5800,5300,3463830,5557721
5800,5300,3445832,5550331
4450,4200,3467996,5556061
3200,2750,3415350,5595123
2485,2340,3503553,5544291
4800,4450,3463236,5563802
4200,3550,3382056,5575719
6200,4200,3520804,5535807
3200,2950,3450948,5567798
7450,6850,3479457,5559332
4200,3550,3465778,5558610
4200,2725,3509186,5547934
2725,1988,3447369,5549720
4800,4450,3387594,5590840
3200,2950,3450952,5549905
2563,2340,3477073,5546943
4200,3550,3408843,5604611
4200,2725,3459196,5447600
3200,2950,3477366,5547969
2340,1988,3388653,5581284
4200,3550,3436675,5599418
4200,3550,3476351,5560372
3200,2725,3432264,5598431
2725,1988,3462935,5563495
6200,5750,3453175,5553416
7450,6850,3430957,5598614
4200,3550,3522301,5538216
5000,4800,3494249,5551479
3600,3200,3454587,5451326
6150,5300,3463357,5557260
7550,1380,3528140,5533858
3200,2950,3441867,5558694
3200,2950,3410838,5581637
4200,3550,3397216,5593634
2950,2725,3454041,5562708
4200,3550,3410838,5581637
3200,2340,3454133,5562527
7450,6850,3427302,5529432
4200,3550,3474835,5560439
6200,4200,3465888,5570941
3200,2950,3503553,5544291
7550,1380,3466951,5558430
2725,2485,3520804,5535807
7550,6200,3448390,5550142
2420,1988,3426667,5609636
5800,5300,3497447,5540922
6200,4200,3520804,5535807
4200,3550,3555752,5540500
4200,3550,3452886,5560585
1760,1560,3388506,5581864
6150,5300,3496440,5554016
1980,1560,3482653,5559289
4200,3550,3557952,5569168
3200,2725,3474835,5560439
5800,5300,3451452,5558569
2725,2340,3520812,5535850
5000,4800,3480283,5559762
2420,1988,3425523,5558683
5800,5300,3451391,5575765
3200,2950,3435836,5598605
2420,1988,3407163,5605519
4200,3550,3463174,5557212
2485,2340,3407163,5605519
3200,2950,3504332,5561957
5000,4800,3452886,5560585
4200,3550,3397410,5593222
7450,6850,3409503,5607534
2420,1988,3503553,5544291
3200,2950,3441628,5506726
7550,1380,3407304,5580024
7550,1380,3506223,5549585
3200,2950,3394192,5592950
4200,3550,3476608,5560617
3200,2950,3473873,5559631
2420,1988,3481533,5556730
3200,2950,3467852,5551971
3200,2950,3463197,5557352
4200,3550,3407749,5607874
6900,6550,3473466,5589388
2420,1988,3426648,5609700
3250,2975,3586619,5543721
1560,1380,3503553,5544291
3200,2950,3463236,5563802
2420,1988,3433599,5481457
7550,6200,3510228,5569418
6200,4200,3479833,5559178
6150,5300,3463174,5557212
2340,1988,3460507,5581902
6150,5300,3463316,5557141
2725,2485,3520804,5535807
2950,2725,3378782,5581743
3600,3200,3454564,5451411
2420,1988,3388506,5581864
6900,6550,3512819,5602672
4200,3550,3463236,5563802
4200,3550,3381805,5575691
4800,4450,3397410,5593222
5800,5300,3445668,5550132
3200,2950,3442703,5544944
4800,4450,3494249,5551479
4200,2725,3438151,5452705
4800,4450,3407749,5607874
3200,2950,3447653,5554434
5000,4800,3472169,5549662
2420,1988,3409503,5607534
1980,1560,3474663,5580742
4200,3550,3409503,5607534
6200,4200,3561346,5538503
4200,3550,3465957,5558482
4200,3550,3555752,5540500
2485,2340,3556050,5525584
6900,6550,3385753,5581186
3200,2950,3466533,5557306
3600,3225,3509191,5547986
5000,4800,3480334,5559672
4200,3550,3467147,5558532
4200,2725,3508722,5547578
7550,6200,3558938,5573189
4200,2725,3509191,5547986
3200,2950,3449519,5550149
4200,2725,3509191,5547986
2340,2205,3407163,5605519
4200,2725,3509186,5547934
2950,2700,3582201,5579868
4200,2725,3509186,5547934
3250,2975,3550629,5562597
2950,2700,3590003,5541298
1980,1560,3519703,5539825
6200,4200,3396826,5569694
7550,1380,3471819,5549427
3200,2725,3372460,5480970
2725,2563,3482363,5559307
1980,1560,3410911,5561488
4200,3550,3443497,5574832
7550,1380,3446692,5430864
5800,5300,3482283,5558886
2420,1988,3567797,5535990
6900,6550,3434138,5566076
2070,1988,3461489,5537203
2420,1988,3516498,5598449
2950,2725,3457970,5566668
6900,6550,3473566,5589307
1560,1380,3448390,5550142
7450,6850,3381723,5505136
4200,3550,3483514,5552584
2950,2725,3477052,5558978
6900,6550,3382378,5590401
7450,6850,3479457,5559332
2725,2340,3440461,5487285
3600,3225,3435590,5460065
6200,4200,3476429,5558793
7550,4250,3449565,5563599
5800,5300,3448126,5573003
3200,2725,3423056,5526720
2725,2340,3528088,5531488
7550,4250,3426701,5528857
2563,2420,3449584,5565189
3200,2950,3387388,5516937
2563,2340,3450478,5440292
3200,2950,3457123,5552873
3200,2950,3341061,5488951
2420,2340,3458679,5550464
7450,6850,3451704,5550838
3200,2950,3378765,5499042
2725,2340,3528088,5531488
6200,4200,3467766,5556073
6900,6550,3564961,5580284
2563,2420,3361047,5494152
5800,5300,3516520,5538024
1980,1560,3481925,5558465
7550,6200,3477179,5547778
3200,2950,3467422,5559006
2420,1988,3387220,5586678
2420,1988,3428469,5540414
3200,2950,3477954,5553869
5800,5300,3495046,5553856
7450,6850,3386215,5505946
7550,6200,3552904,5534675
2950,2725,3493269,5552730
2420,1988,3423003,5560447
4800,4200,3486694,5558208
7550,6200,3430728,5523774
2725,2340,3353918,5482177
2205,2070,3524757,5577765
7450,6850,3503095,5561558
5000,4800,3480008,5559850
7550,4250,3478654,5577682
2563,2420,3472180,5550364
6900,6550,3450854,5543802
2420,1988,3521424,5536624
7550,1380,3437420,5456034
2340,1988,3389628,5536933
3200,2950,3445126,5557161
3200,2950,3439843,5482030
3200,2950,3496516,5542378
1980,1560,3389051,5580531
7550,1380,3472437,5548122
3600,3225,3459011,5534994
4200,2725,3441488,5478998
1980,1958,3496129,5590225
7550,1380,3450786,5593293
4200,3550,3555646,5540361
2205,2070,3408022,5468555
2420,1988,3482858,5559563
5800,5300,3388506,5581864
3450,3200,3462695,5580149
6200,4200,3470621,5553688
3600,3225,3528964,5529986
1980,1560,3485356,5555813
5300,5000,3437920,5616237
1980,1560,3433414,5462624
3600,3200,3439135,5467682
1980,1760,3388506,5581864
2950,2700,3569202,5544592
2340,1988,3422781,5526460
2485,2340,3458672,5550474
1980,1560,3521282,5536558
3250,2975,3512904,5555099
3200,2950,3380494,5509168
